Institution Name,Title IV School Code,Program Title,Program Type,Discipline,Program Level,Program Format ,Location,Schedule (if possible),Program URL,Avg Timeframe to Complete in Hours,Avg Cost Per Credit Hour,Program Category ,Program Description
University of Southern Maine,9762,Certificate Program in Effective Treatment & Recovery Support for Co-Occurring Conditions of Mental Health and Substance Abuse,certificate,non credit,,classroom,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-co-occuring-conditions-mental-health-and-substance-abuse,30 hours,$625,"Healthcare, Mental Health Practice","This certificate program is designed to help substance abuse and mental health care professionals develop the prerequisite values, knowledge, and skills required to provide integrated treatment to individuals with co-occurring conditions.  Knowing how to welcome, engage, assess, and respond to complex conditions with an integrated approach is critical to supporting recovery. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.
"
University of Southern Maine,9762,Certificate Program in Holistic Health Care Practice,certificate,non credit,,classroom,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/certificate-program-holistic-health-care-practice,48 hours,"$525, plus electives",Complementary Therapies ,"This certificate program in holistic health care practice offers practitioners expanded knowledge in a rapidly growing field and an opportunity to develop more meaningful work and increased self-awareness for healing. Consumers and professional caregivers are embracing more holistic approaches to wellness. Over 36% of American adults are using some type of complementary or alternative medicine (CAM) to supplement conventional health care.  Holistic health care practice honors both conventional and complementary medicine. It is interdisciplinary in nature and relevant and enriching to the entire range of professionals providing care for physical, mental, and emotional health. In holistic health care, mind, body, spirit, and environment are seen as interconnected and essential to both personal well-being and to healing others. A holistic approach recognizes that practitioners who have a firm foundation of balance and wellness in their own lives are more able to effectively provide healing and health care to others. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.


"
University of Southern Maine,9762,Certificate Program in Evidence Based Practice ,certificate,non credit,,classroom,Abromson Community Education Center,Fixed ,http://www.usm.maine.edu/pdp/abcs-evidence-based-practice,24 hours,$525,"Healthcare, Mental Health Practice","As evidence-based practice (EBP) becomes standard for healthcare professionals, clinicians need to 1) successfully integrate the results of published research into practice, and 2) expand the knowledge base by conducting research as a regular part of clinical practice.  These two challenges constitute a major cultural shift for clinicians, one that is complex to implement but far reaching in its implications for better patient care. Nurses and other healthcare professionals are becoming more involved in and motivated to conduct EBP; and research plays a pivotal role in the development of clinical practices that are based on sound scientific evidence. For hospitals seeking Magnet Recognition, research and evidence based practice programs are increasingly important. It is the expectation in healthcare facilities today that nurses and other clinicians will conduct research, generate new knowledge and implement results in practice to advance the professions. To learn more about this program or to register please  contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu or go online at usm.maine.edu/pdp.


"
University of Southern Maine,9762,Certificate Program in Gerontology,certificate,credit,,online,N/A,Flexible,http://www.usm.maine.edu/online/online-certificate-program-gerontology 15 hours,15 credit hours,$253/credit ,"Healthcare, Mental Health Practice","The Certificate Program in Gerontology is designed to help professionals currently working with older adults, as well as individuals preparing for health and human services professions, develop their capacity to serve this clinically complex population.  The program is based on the multidisciplinary competencies recommended by the Partnership for Health in Aging. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu. Our student success advisors are here to answer your questions and support you from inquiry through graduation. 
"
University of Southern Maine,9762,"Business Administration, Generalist Track",bachelor,science,,online,N/A,Flexible,http://www.usm.maine.edu/online/online-bs-business-administration#1,68-71 credit hours,$253/credit,Business,"Students develop a broad view of the business world and the skills to work with all aspects of their business environment. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu. Our student success advisors are here to answer your questions and support you from inquiry through graduation. 
"
University of Southern Maine,9762,"Liberal Studies, Humanities Track",bachelor,arts,,online,N/A,Flexible,http://www.usm.maine.edu/online/online-ba-liberal-studies,36 credit hours,$253/credit,Liberal Arts,"This major provides the opportunity to combine existing liberal arts credits from other institutions with USM Humanities courses to create an efficient and coherent path to degree completion. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu. Our student success advisors are here to answer your questions and support you from inquiry through graduation. 
 
"
University of Southern Maine,9762,Communication,bachelor,arts,,online,N/A,Flexible,http://www.usm.maine.edu/online/online-ba-communication,36 credit hours,$253/credit,Communication,"The Communication major provides a valuable foundation for many professions. It provides a framework for individuals with communication responsibilities such as marketing, management, and public relations. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu. Our student success advisors are here to answer your questions and support you from inquiry through graduation. 
"
University of Southern Maine,9762,Leadership and Organizational Studies,bachelor,science,,online,N/A,Flexible,http://www.usm.maine.edu/online/online-bs-leadership-and-organizational-studies-0,54 credit hours,$254/credit ,Leadership,"LOS combines a liberal arts program wit the study of how organizations operate and how leadership functions. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu. Our student success advisors are here to answer your questions and support you from inquiry through graduation. 
"
University of Southern Maine,9762,Applied Technical Leadership,bachelor,science,,online,N/A,Flexible,http://www.usm.maine.edu/online/online-bs-applied-technical-leadership,81 credit hours,$253/credit,"Business, Industry Professional Practices","ATL is designed for working adults who are highly trained and experienced in their occupations or technical fields and want to develop their professional skills while completing their bachelor's degree. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu. Our student success advisors are here to answer your questions and support you from inquiry through graduation. 
"
University of Southern Maine,9762,Arts and Humanities Program,bachelor,arts,,"classroom, hybrid, online",Lewiston,Flexible,http://www.usm.maine.edu/hum/ba-arts-and-humanities,Variable,$253/credit ,"Arts, Humanities","USM's Lewiston-Auburn College's Arts & Humanities program engages students in integrating writing and history with visual and digital literacy, preparing them for careers as diverse as education, print and broadcast journalism, advertising, creative writing, and arts management, as well as for further study in a range of graduate programs and professional schools.  Courses are offered in all formats to allow students full flexibility in attaining a degree at their own pace and convenience.  This major is also offered jointly with a secondary teacher certification program that allows students to graduate in 4 years with an arts and humanities degree as well as secondary teacher certification.  Adults with 75 credits (or more) may qualify for a special liberal studies degree completion track in this program.  For those interested in this program, please contact USM LAC's Student Success Center at 753-6536."
University of Southern Maine,9762,Leadership and Organizational Studies,bachelor,science,,"classroom, hybrid, online",Lewiston,Flexible,http://www.usm.maine.edu/leadership,Variable,$253/credit ,Leadership ,students develop a broad view of the business world and the skills to work with all aspects of their business environment. To learn more about this fully online USM program please contact USM Professional and Continuing Education at 207-780-5900 or at pce@usm.maine.edu
University of Southern Maine,9762,Leadership Studies,master,arts,,"classroom, hybrid, online",Lewiston,Flexible,http://www.usm.maine.edu/leadership/ma-leadership-studies,Variable,$253/credit ,Leadership ,"The master's in leadership studies at USM's Lewiston-Auburn College is an interdisciplinary professional program that blends the social and behavioral sciences and the humanities to explore the complex set of leadership issues and challenges that go beyond a particular subject or field of work. Graduates of the program will attain a mastery of leadership theory and skills that will enable them to perform as successful leaders in their work organizations, their communities, and the world.  The Master's Degree in Leadership Studies is available both fully online and in a blended (partially online, partially face-to-face) format. Graduate certificates are available in creative leadership and global strategy, and leadership studies.  The Leadership Studies 4+1 option allows qualified undergraduate students (in any major) to complete a bachelor’s degree and a Master of Arts in Leadership Studies degree in five years.  For those interested in the graduate Leadership Studies program, please contact Luisa Scott, Coordinator of Graduate Programs for USM's Lewiston-Auburn College, at 753-6523."
University of Southern Maine,9762,Natural and Applied Sciences,bachelor,arts,,classroom,Lewiston,Flexible,http://www.usm.maine.edu/nas,Variable,$253/credit ,Science,"The Natural and Applied Sciences program at USM's Lewiston-Auburn College provides adult students with a liberal arts education emphasizing basic sciences that prepares them for laboratory work in basic research and biotechnology, teaching as elementary or secondary science teachers, and environmental positions in the public and private sectors. Students may develop a concentration focusing on the biology of human health and illness or one focusing on environmental issues. Those who want to teach at the elementary level or secondary science may elect to pursue teacher certification in conjunction with this degree.  For those interested in this program, please contact USM LAC's Student Success Center at 753-6536."
University of Southern Maine,9762,Social and Behavioral Sciences,bachelor,arts,,"classroom, hybrid, online",Lewiston,Flexible,http://www.usm.maine.edu/sbs,Variable,$253/credit ,Social Science,"The social and behavioral sciences (SBS) degree program at USM's Lewiston-Auburn College integrates perspectives from psychology, sociology, and anthropology as it prepares adult students for careers in social services, mental health, law and public policy, early childhood care, and education. A certificate is offered in Public Health, and students may elect a further focus within their bachelor degree in Early Childhood Studies, Counseling or Public Health. For those interested in this program, please contact USM LAC's Student Success Center at 753-6536."
University of Southern Maine,9762,Occupational Therapy,master,occupational therapy,,classroom,Lewiston,Fixed ,http://www.usm.maine.edu/ot,3.5 Yrs (PT)/ 2.5 Yrs (FT),380/credit,Occupational Therapy,"USM's Lewiston-Auburn College offers an entry level Master of Occupational Therapy program for students who have an undergraduate degree in a field other than Occupational Therapy and a Return to Practice (R2P) graduate certificate for Occupational Therapists who have been out of the OT field for a period of time (and who no longer have a current license or OT certification) so that they can update their knowledge and skills in order to return to practicing OT. (The entire 18 credits of the R2P program may be earned during one academic year in three semesters.)  The MOT may be completed in 3.5 years of part-time study (or 2.5 years of full-time study).  An MOT Jumpstart option also exists.  For those interested in this program, please contact Luisa Scott, Coordinator of Graduate Programs for USM's Lewiston-Auburn College, at 753-6523."
University of Southern Maine,9762,Certificate of Graduate Study in Computer Science,certificate,,,classroom,Portland,,http://usm.maine.edu/cos/certificate-graduate-study-computer-science,,380/credit,Computer Science,The Graduate Certificate in Software Systems provides courses focused in key contemporary software development technologies. Its chief anticipated audience in local computer professionals wishing to extend their expertise.
University of Southern Maine,9762,Certificate in Applied Statistics,certificate,,,classroom,Portland,,http://usm.maine.edu/math/certificate-advanced-study-applied-statistics-0,,$253/credit ,"Mathematics, Statistics","The Certificate in Applied Statistics is designed for people in area businesses, industry, government, and education who are looking for an opportunity to further their skills in the area of statistics."
University of Southern Maine,9762,Certificate in Pre-medical studies,certificate,,,classroom,Portland,,http://usm.maine.edu/bio/certificate-pre-medical-studies-postbaccalaureate,,$253/credit ,Biology,This certificate program is designed for students who have already graduated from college with a baccalaureate degree and who seek to fulfill the science course requirements for admission to schools of medicine or dentistry or to physician assistant programs.
University of Southern Maine,9762,Certificate in Pre-veterinary studies,certificate,,,classroom,Portland,,http://usm.maine.edu/bio/certificate-pre-veterinary-studies-postbaccalaureate,,$253/credit ,Biology,This certificate program is designed for students who have already graduated from college with a baccalaureate degree and who seek to fulfill the science course requirements for admission to schools of veterinary medicine.
University of Southern Maine,9762,Certificate in Applied Energy,certificate,,,classroom,Gorham,,http://usm.maine.edu/environmental-science/certificate-applied-energy,,$253/credit ,Environmental Science,"This certificate is designed for professionals in industry, consulting, government, and non-governmental organizations. It is designed to develop an individual's skills in applied energy through a combination of laboratory, field work, and advanced analysis in energy efficiency, production, and life cycle assessment. The certificate is awarded after the successful completion of 15 credit hours of study."
University of Southern Maine,9762,Certificate in Environmental Policy Analysis,certificate,,,classroom,Gorham,,http://usm.maine.edu/environmental-science/certificate-certificate-environmental-policy-analysis,21 credit hours,$253/credit ,Environmental Science,"The Department of Environmental Science offers a certificate in environmental policy analysis, designed for students and professionals in industry, consulting, government, and non-governmental organizations. The certificate is designed to develop an individual’s skills in identifying environmental policy problems, formulating policy solutions, and evaluating policies."
University of Southern Maine,9762,Certificate in Foundations of Holistic Health,certificate,,,online,NA,,http://www.usm.maine.edu/nursing/certificate-foundations-holistic-health,3 years to complete,$253/credit ,Nursing,The Foundations of Holistic Health Certificate program is designed for students interested in exploring the realm of contemporary healing.
University of Southern Maine,9762,Certificate of Advanced Study in Nursing,certificate,,,classroom,Portland,,http://www.usm.maine.edu/nursing/certificate-advanced-study-nursing-post-masters-certificate-advanced-study,,380/credit,Nursing,The post-master's certificate of advanced study in nursing is designed to meet the educational needs of the masters-prepared registered nurse interested in obtaining preparation as an advanced practice nurse (APN) whose master's degree was not in an advanced practice specialty.
University of Southern Maine,9762,Certificate of Graduate Study in Nursing,certificate,,,classroom,Portland,,http://www.usm.maine.edu/nursing/certificate-graduate-study-nursing-certificate-graduate-study-nursing-education,,,Nursing,"This 9-credit certificate program prepares students to teach in entry- and master's-level nursing programs in both didactic and clinical courses and engage in other professional roles such as staff development. Three required courses (3 credits each) for this certificate provide a foundation in theories of nursing education, external factors that influence nursing education, curricular models, teaching methodologies and strategies, and critical analysis of theories of learning and teaching."
University of Southern Maine,9762,American & New England Studies,master,,,hybrid,Portland,,http://usm.maine.edu/anes,Variable,$380/Credit ,Humanities,"The American and New England Studies program is committed to studying regionalism in the context of contemporary thought and scholarship. It is both a regional and an American studies program. The program's focus is on New England, but the region is examined in the broad context of American social and cultural experience as a whole."
University of Southern Maine,9762,Stonecoast MFA in Creative Writing,master,fine arts,,Low Residency,Various,,http://www.usm.maine.edu/stonecoastmfa/,Variable,$380/Credit ,"Arts, Humanities","One of the nation's most diverse, exciting, and rigorous low-residency MFA programs, the Stonecoast MFA in Creative Writing offers a superbly comprehensive yet thoroughly individualized two-year graduate education in the art of writing."
University of Southern Maine,9762,Certificate in Accounting,certificate,,,classroom,Portland,,http://www.usm.maine.edu/sb/certificate-accounting,2 years,,Business,Designed to meet the needs of career changers who already possess an undergraduate degree in another field.
University of Southern Maine,9762,Certificate in Risk Management and Insurance,certificate,,,classroom,Portland,,http://www.usm.maine.edu/sb/certificate-risk-management-insurance,1-2 years,,Business,"Designed for those working in or desiring to work in risk management, insurance, or financial services careers. "
University of Southern Maine,9762,Teacher Education Pathways,bachelor,,,classroom,Gorham and Portland,,http://usm.maine.edu/teacher-certification,4 years,,Education,Several teacher certification pathways available within undergraduate majors
University of Southern Maine,9762,Bachelor of Arts in Social Work,bachelor,arts,,classroom,Portland,,http://usm.maine.edu/swo/ba-bachelor-social-work,4 years,,Social Work,"The program prepares students for generalist social work practice and to serve as change agents who enhance the well-being of individuals, families, organizations, and communities."
University of Southern Maine,9762,Bachelor of Arts in Geography-Anthropology,bachelor,arts,,classroom,Gorham and Portland,,http://usm.maine.edu/gany  ,4 years,,"Geography, Anthropology","Designed for students who are interested in human nature, environmental processes, and western and non-western cultures as well as field experiences in archaeology, anthropology, and geography, and to students with analytical minds who are alert to social and environmental problems involving cultural and natural processes. "
University of Southern Maine,9762,Certificate in Applied Geographic Information Systems,certificate,,,classroom,Gorham and Portland  ,,http://www.usm.maine.edu/gis/certificate-geographic-information-systems,2 years,,"Geography, Anthropology",Designed to provide students and members of the professional community with GIS skills.
University of Maine Fort Kent,2041,Study Sequence in Accounting,associate,arts,,online,N/A,Flexible,http://business.umfk.edu/accounting/associates/online/,Variable,$220/credit,Business,"The Associate of Arts degree in Accounting prepares students for entry-level positions in Business and Accounting. Through the General Education Requirements, students will be exposed to communication, analytical, technological and scientific skills as well a background in the liberal arts. The Accounting courses prepare the students with the skills of the accounting profession to keep precise financial records, analyze trends, and plot future growth and strategies. The Electives allow students to explore other areas or expand the Accounting Program. Upon graduation, students may then seek employment or continue their studies in a Bachelor's degree."
University of Maine Fort Kent,2041,Study Sequence in Criminal Justice,associate,arts,,online,N/A,Flexible,http://safety.umfk.edu/justice/online/,Variable,$220/credit,Law Enforcement,"The Associate of Arts in Criminal Justice prepares the student for positions in today's most important areas, our safety and security. Safe guarding our homeland and local communities have become a national importance and there is a demand for well-educated and well-qualified individuals to fill the positions. The Criminal Justice program provides the background in the field of Criminology, Criminal Justice, and Security including the legal, procedural, investigative, and sociological aspects of the profession."
University of Maine Fort Kent,2041,Study Sequence in Emergency Management/Homeland Security,associate,arts,,online,N/A,Flexible,http://safety.umfk.edu/emergency/online/,Variable,$220/credit,"Emergency First Responder, Homeland Security","The Associate of Arts in Emergency Management/Homeland Security program at UMFK offers a liberal arts education with an emphasis in public administration, emergency management and public safety. The degree program is designed to prepare students academically with professional skills to seek employment or advancement in public service, governmental and nongovernmental management and public safety, including law enforcement, and the criminal justice system at the federal, state, regional and local levels. "
University of Maine Fort Kent,2041,General Studies,associate,arts,,online,N/A,Flexible,http://studies.umfk.edu/general/online/,Variable,$220/credit,General Studies,The Associate of Arts in General Studies allows the student to select courses in areas of their choice while providing them a background in Liberal Arts.
University of Maine Fort Kent,2041,Information Security,associate,science,,online,N/A,Flexible,http://security.umfk.edu/associates/online/,Variable,$220/credit,Information Security,The Associate of Science in Information Security is designed to prepare students to obtain employment in the information security and related fields or as a course of study leading to baccalaureate studies in information security. The program promotes a clearer and deeper understanding of both the security management and technical components of information security for the betterment of humankind and society.
